0.000000000000000000e+00 4.538254164186492634e-01
1.000000000000000056e-01 2.268915919744989296e-01
2.000000000000000111e-01 5.253869719104853342e-01
3.000000000000000444e-01 7.753506957615239337e-01
4.000000000000000222e-01 6.068528834941910866e-02
5.000000000000000000e-01 1.948073721432285188e-01
6.000000000000000888e-01 2.312995662135478581e-01
7.000000000000000666e-01 7.489134014614119428e-01
8.000000000000000444e-01 9.352474196861325639e-01
9.000000000000000222e-01 1.675481106014916621e-01
1.000000000000000000e+00 3.720984517493219901e-01
